place_id,name,address,zip,city,rating,user_ratings_total,business_status,lat,lng,types
ABRA-118102,Benchmark Wine & Spirits/Brentwood Wine DC,"955 V STREET NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.917302539447,-76.991990279146,
ABRA-118158,Exotic Wine & Spirits,"801 MARYLAND AVENUE NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.895358719254,-76.994862080198,
ABRA-118161,Eaton DC,"1201 K STREET NW, WASHINGTON, DC 20005",20005,Washington,,,OPERATIONAL,38.902576508956,-77.028155332006,
ABRA-118178,Uncorked,"1005 1ST STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.902621425068,-77.005814090025,
ABRA-118193,Mayfair Liquors,"7312 GEORGIA AVENUE NW, WASHINGTON, DC 20012",20012,Washington,,,OPERATIONAL,38.978474464374,-77.026503357375,
ABRA-118225,Verified Wines & Fine Spirits,"4906 WISCONSIN AVENUE NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.953883575691,-77.082292894028,
ABRA-118327,Amity Wine and Spirits,"1261 4TH STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.908125337934,-76.999725874232,
ABRA-118369,Heights Liquor,"547 42ND STREET NE, WASHINGTON, DC 20019",20019,Washington,,,OPERATIONAL,38.89700768541,-76.942530616032,
ABRA-118381,Papa's Liquors,"3703 MACOMB STREET NW, WASHINGTON, DC 20016",20016,Washington,,,OPERATIONAL,38.933545504372,-77.072518213284,
ABRA-118660,Courtyard Washington Capitol Hill/Navy Yard,"140 L STREET SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.877588681403,-77.004109049163,
ABRA-118781,H Street Spirits,"1368 H STREET NE, WASHINGTON, DC 20002",20002,Washington,,,OPERATIONAL,38.900254507864,-76.986283572099,
ABRA-118882,J J Liquors,"1211 BRENTWOOD ROAD NE, WASHINGTON, DC 20018",20018,Washington,,,OPERATIONAL,38.920289018994,-76.990049696243,
ABRA-118886,Fair Liquors,"5008 1ST STREET NW, WASHINGTON, DC 20011",20011,Washington,,,OPERATIONAL,38.951023505461,-77.012329498655,
ABRA-119114,Housebar,"1299 1ST STREET SE, WASHINGTON, DC 20003",20003,Washington,,,OPERATIONAL,38.874694513753,-77.005938811808,
